City,Average Delay
Kansas City,7.2
Orlando,16.8
Dallas/Fort Worth,20.142857142857142
Baltimore,34.6
Las Vegas,5.75
Newark,41.42857142857143
Los Angeles,35.4
Oklahoma City,7.333333333333333
Washington,3.0
Houston,10.666666666666666
Fresno,1.0
Chicago,14.0
Omaha,8.0
Nashville,44.0
Tampa,12.8
San Jose,16.2
San Diego,19.0
San Antonio,19.0
Ontario,4.0
Boise,2.0
Atlanta,5.0
Cincinnati,15.666666666666666
Portland,11.666666666666666
Boston,37.42857142857143
St. Louis,73.75
New York,2.0
Salt Lake City,72.6
Charlotte,0.0
Austin,14.0
Reno,18.0
Sacramento,7.333333333333333
Tulsa,18.333333333333332
Philadelphia,67.66666666666667
Tucson,6.0
Phoenix,31.375
Seattle,109.45454545454545
Santa Ana,3.6666666666666665
Oakland,14.0
Albuquerque,0.0
Dallas,8.2
Minneapolis,4.5
Des Moines,6.0
Colorado Springs,8.0
New Orleans,19.0
San Francisco,9.2
Detroit,5.0
Milwaukee,0.0
Burbank,10.0
